Admit Source;Admit Type;Appt Start Time;Care Score;Check-In Time;Clinic Name;Department;Diagnosis Primary;Discharge Datetime new;Encounter Number;Encounter Status;Number of Records;Wait Time Min
Deposit Account;Emergency;1/01/2020 7:45;2;1/01/2020 7:45;CitiBank Colombia;Savings Account;;;STA-200101-000648;Cancelled;1;14
Loans;Emergency;1/01/2020 7:46;2;1/01/2020 7:46;CitiBank Colombia;Savings Account;;;STA-200101-000652;Cancelled;1;20
Investment;Emergency;1/01/2020 7:46;2;1/01/2020 7:46;CitiBank Colombia;Savings Account;;;STA-200101-000653;Cancelled;1;23
Cards;Emergency;1/01/2020 7:46;4;1/01/2020 7:46;CitiBank Colombia;Current Account;;;STA-200101-000654;Cancelled;1;98
Banking;Emergency;1/01/2020 7:46;4;1/01/2020 7:46;CitiBank Colombia;Current Account;;;STA-200101-000655;Cancelled;1;73
Deposit Account;Elective;1/01/2020 7:46;2;1/01/2020 7:46;CitiBank Colombia;Home Loan;;;STA-200101-000656;Cancelled;1;75
Loans;Elective;1/01/2020 7:46;2;1/01/2020 7:46;CitiBank Colombia;Home Loan;;;STA-200101-000657;Cancelled;1;118
Investment;Elective;1/01/2020 7:48;4;1/01/2020 7:48;CitiBank Colombia;Personal Loan;;;STA-200101-000662;Cancelled;1;32
Cards;Elective;1/01/2020 7:48;4;1/01/2020 7:48;CitiBank Colombia;Personal Loan;;;STA-200101-000663;Cancelled;1;58
Banking;Elective;1/01/2020 7:49;4;1/01/2020 7:49;CitiBank Colombia;Personal Loan;;;STA-200101-000664;Cancelled;1;69
Deposit Account;Emergency;1/01/2020 7:49;3;1/01/2020 7:49;CitiBank Colombia;Current Account;;;STA-200101-000665;Cancelled;1;132
Loans;Elective;1/01/2020 7:55;3;1/01/2020 7:55;CitiBank Colombia;Fixed Deposit;;;STA-200101-000674;Cancelled;1;23
Investment;Elective;2/01/2020 3:01;2;2/01/2020 3:01;CitiBank Colombia;Fixed Deposit;;;STA-200102-002726;Cancelled;1;112
Cards;Elective;2/01/2020 7:20;3;2/01/2020 7:20;CitiBank Colombia;Fixed Deposit;;;STA-200102-007114;Cancelled;1;126
Banking;Emergency;2/01/2020 7:26;2;2/01/2020 7:26;CitiBank Colombia;Current Account;;;STA-200102-007212;Cancelled;1;22
Deposit Account;Emergency;2/01/2020 8:09;3;2/01/2020 8:09;CitiBank Colombia;Current Account;;;STA-200102-007828;Cancelled;1;114
Loans;Emergency;2/01/2020 8:10;4;2/01/2020 8:10;CitiBank Colombia;Current Account;;;STA-200102-007843;Cancelled;1;62
Investment;Emergency;2/01/2020 8:15;4;2/01/2020 8:15;CitiBank Colombia;Current Account;;;STA-200102-007918;Cancelled;1;44
Cards;Emergency;2/01/2020 8:17;3;2/01/2020 8:17;CitiBank Colombia;Current Account;;;STA-200102-007932;Cancelled;1;122
Banking;Emergency;2/01/2020 8:22;3;2/01/2020 8:22;CitiBank Colombia;Current Account;;;STA-200102-008006;Cancelled;1;129
Deposit Account;Elective;2/01/2020 8:23;4;2/01/2020 8:23;CitiBank Colombia;Recurring Deposit;;;STA-200102-008026;Cancelled;1;29
Loans;Elective;2/01/2020 8:27;5;2/01/2020 8:27;CitiBank Colombia;Recurring Deposit;;;STA-200102-008088;Cancelled;1;37
Investment;Elective;2/01/2020 8:29;3;2/01/2020 8:29;CitiBank Colombia;Recurring Deposit;;;STA-200102-008114;Cancelled;1;67
Cards;Elective;2/01/2020 8:32;4;2/01/2020 8:32;CitiBank Colombia;Credit Card;;;STA-200102-008157;Cancelled;1;31
Banking;Elective;2/01/2020 8:34;3;2/01/2020 8:34;CitiBank Colombia;Credit Card;;;STA-200102-008197;Cancelled;1;108
Deposit Account;Elective;2/01/2020 8:36;4;2/01/2020 8:36;CitiBank Colombia;Credit Card;;;STA-200102-008236;Cancelled;1;122
Loans;Emergency;2/01/2020 8:37;3;2/01/2020 8:37;CitiBank Colombia;Current Account;;;STA-200102-008249;Cancelled;1;113
Investment;Emergency;2/01/2020 8:39;5;2/01/2020 8:39;CitiBank Colombia;Current Account;;;STA-200102-008287;Cancelled;1;3
Cards;Emergency;2/01/2020 8:42;2;2/01/2020 8:42;CitiBank Colombia;Current Account;;;STA-200102-008314;Cancelled;1;13
Banking;Emergency;2/01/2020 8:42;2;2/01/2020 8:42;CitiBank Colombia;Current Account;;;STA-200102-008322;Cancelled;1;101
Deposit Account;Emergency;2/01/2020 8:44;3;2/01/2020 8:44;CitiBank Colombia;Current Account;;;STA-200102-008345;Cancelled;1;122
Loans;Elective;2/01/2020 8:46;4;2/01/2020 8:46;CitiBank Colombia;Fixed Deposit;;;STA-200102-008377;Cancelled;1;10
Investment;Elective;2/01/2020 8:51;4;2/01/2020 8:51;CitiBank Colombia;Fixed Deposit;;;STA-200102-008460;Cancelled;1;11
Cards;Elective;2/01/2020 8:59;4;2/01/2020 8:59;CitiBank Colombia;Fixed Deposit;;;STA-200102-008625;Cancelled;1;123
Banking;Emergency;2/01/2020 9:02;4;2/01/2020 9:02;CitiBank Colombia;Current Account;;;STA-200102-008673;Admit;1;19
Deposit Account;Emergency;2/01/2020 9:02;4;2/01/2020 9:02;CitiBank Colombia;Current Account;;;STA-200102-008677;Cancelled;1;68
Loans;Emergency;2/01/2020 9:02;2;2/01/2020 9:02;CitiBank Colombia;Current Account;;;STA-200102-008679;Cancelled;1;92
Investment;Emergency;2/01/2020 9:02;3;2/01/2020 9:02;CitiBank Colombia;Current Account;;;STA-200102-008683;Cancelled;1;66
Cards;Emergency;2/01/2020 9:04;2;2/01/2020 9:04;CitiBank Colombia;Current Account;;;STA-200102-008719;Cancelled;1;40
Banking;Emergency;2/01/2020 9:06;4;2/01/2020 9:06;CitiBank Colombia;Current Account;;;STA-200102-008755;Cancelled;1;37
Deposit Account;Elective;2/01/2020 9:07;4;2/01/2020 9:07;CitiBank Colombia;Debit Card;;;STA-200102-008777;Cancelled;1;29
Loans;Elective;2/01/2020 9:09;3;2/01/2020 9:09;CitiBank Colombia;Debit Card;;;STA-200102-008827;Cancelled;1;76
Investment;Elective;2/01/2020 9:17;3;2/01/2020 9:17;CitiBank Colombia;Debit Card;;;STA-200102-008962;Cancelled;1;110
Cards;Elective;2/01/2020 9:18;2;2/01/2020 9:18;CitiBank Colombia;Debit Card;;;STA-200102-008976;Preadmit;1;1
Banking;Elective;2/01/2020 9:19;5;2/01/2020 9:19;CitiBank Colombia;Debit Card;;;STA-200102-009002;Preadmit;1;46
Deposit Account;Elective;2/01/2020 9:24;2;2/01/2020 9:24;CitiBank Colombia;Debit Card;;;STA-200102-009081;Preadmit;1;54
Loans;Elective;2/01/2020 9:25;5;2/01/2020 9:25;CitiBank Colombia;Debit Card;;;STA-200102-009103;Cancelled;1;13
Investment;Elective;2/01/2020 9:26;4;2/01/2020 9:26;CitiBank Colombia;Debit Card;;;STA-200102-009107;Cancelled;1;50
Cards;Elective;2/01/2020 9:28;2;2/01/2020 9:28;CitiBank Colombia;Debit Card;;;STA-200102-009154;Cancelled;1;68
Banking;Elective;2/01/2020 9:30;2;2/01/2020 9:30;CitiBank Colombia;Debit Card;;;STA-200102-009202;Cancelled;1;86
Deposit Account;Elective;2/01/2020 9:37;3;2/01/2020 9:37;CitiBank Colombia;Fixed Deposit;;;STA-200102-009329;Cancelled;1;81
Loans;Elective;2/01/2020 9:40;2;2/01/2020 9:40;CitiBank Colombia;Fixed Deposit;;;STA-200102-009391;Cancelled;1;123
Investment;Elective;2/01/2020 9:42;2;2/01/2020 9:42;CitiBank Colombia;Fixed Deposit;;;STA-200102-009429;Cancelled;1;129
Cards;Emergency;2/01/2020 9:43;2;2/01/2020 9:43;CitiBank Colombia;Current Account;;;STA-200102-009448;Cancelled;1;107
Banking;Emergency;2/01/2020 9:45;3;2/01/2020 9:45;CitiBank Colombia;Current Account;;;STA-200102-009477;Cancelled;1;137
Deposit Account;Elective;2/01/2020 9:47;2;2/01/2020 9:47;CitiBank Colombia;Balance Enquiry;;;STA-200102-009524;Cancelled;1;97
Loans;Elective;2/01/2020 9:47;3;2/01/2020 9:47;CitiBank Colombia;Balance Enquiry;;;STA-200102-009532;Cancelled;1;138
